Taille de Matrice,Temps 1 Jetson,Temps 2 Jetson,Temps 3 Jetson,Temps 4 Jetson,Temps 5 Jetson,Temps 6 Jetson,Temps CPU matrice transposée
258,0.072000,0.091000,0.109000,0.133000,0.148000,0.167000,0.057000
259,0.073000,0.094000,0.112000,0.135000,0.145000,0.167000,0.057000
260,0.073000,0.092000,0.114000,0.134000,0.149000,0.175000,0.058000
261,0.074000,0.093000,0.113000,0.136000,0.148000,0.179000,0.059000
262,0.074000,0.094000,0.117000,0.133000,0.155000,0.171000,0.061000
263,0.075000,0.092000,0.116000,0.139000,0.150000,0.174000,0.060000
264,0.076000,0.095000,0.115000,0.135000,0.160000,0.179000,0.062000
265,0.076000,0.096000,0.116000,0.141000,0.159000,0.177000,0.061000
266,0.077000,0.096000,0.120000,0.142000,0.156000,0.182000,0.063000
267,0.077000,0.097000,0.120000,0.141000,0.163000,0.180000,0.065000
268,0.077000,0.098000,0.121000,0.144000,0.155000,0.184000,0.065000
269,0.079000,0.102000,0.119000,0.146000,0.157000,0.181000,0.064000
270,0.079000,0.100000,0.121000,0.147000,0.160000,0.182000,0.065000
271,0.080000,0.100000,0.124000,0.145000,0.166000,0.192000,0.066000
272,0.080000,0.101000,0.124000,0.147000,0.167000,0.191000,0.066000
273,0.081000,0.101000,0.114000,0.147000,0.162000,0.189000,0.068000
274,0.081000,0.102000,0.123000,0.152000,0.169000,0.190000,0.068000
275,0.081000,0.103000,0.125000,0.152000,0.166000,0.199000,0.069000
276,0.082000,0.104000,0.129000,0.151000,0.169000,0.191000,0.070000
277,0.083000,0.104000,0.125000,0.155000,0.171000,0.194000,0.070000
278,0.083000,0.105000,0.126000,0.156000,0.171000,0.192000,0.073000
279,0.086000,0.106000,0.130000,0.160000,0.172000,0.201000,0.072000
280,0.085000,0.107000,0.129000,0.157000,0.172000,0.199000,0.074000
281,0.085000,0.107000,0.128000,0.147000,0.180000,0.196000,0.073000
282,0.085000,0.108000,0.132000,0.150000,0.186000,0.200000,0.074000
283,0.087000,0.109000,0.134000,0.162000,0.187000,0.200000,0.075000
284,0.087000,0.110000,0.133000,0.160000,0.184000,0.211000,0.075000
285,0.087000,0.110000,0.135000,0.162000,0.187000,0.206000,0.076000
286,0.087000,0.111000,0.136000,0.162000,0.193000,0.206000,0.078000
287,0.088000,0.112000,0.134000,0.166000,0.182000,0.208000,0.078000
288,0.089000,0.113000,0.137000,0.164000,0.190000,0.212000,0.078000
289,0.090000,0.113000,0.136000,0.158000,0.186000,0.208000,0.080000
290,0.091000,0.115000,0.137000,0.166000,0.185000,0.218000,0.080000
291,0.091000,0.115000,0.138000,0.156000,0.199000,0.219000,0.083000
292,0.091000,0.116000,0.143000,0.170000,0.187000,0.220000,0.083000
293,0.092000,0.115000,0.140000,0.168000,0.199000,0.216000,0.084000
294,0.093000,0.118000,0.143000,0.174000,0.189000,0.230000,0.085000
295,0.093000,0.118000,0.142000,0.167000,0.197000,0.229000,0.086000
296,0.095000,0.119000,0.149000,0.170000,0.191000,0.221000,0.085000
297,0.095000,0.120000,0.150000,0.178000,1.057000,0.227000,0.087000
298,0.096000,0.121000,0.146000,0.173000,0.199000,0.223000,0.088000
299,0.096000,0.121000,0.148000,0.175000,0.193000,0.222000,0.089000
300,0.097000,0.121000,0.152000,0.176000,0.208000,0.236000,0.089000
301,0.097000,0.123000,0.151000,0.182000,0.207000,0.234000,0.090000
302,0.098000,0.124000,0.149000,0.181000,0.211000,0.229000,0.091000
303,0.098000,0.125000,0.148000,0.178000,0.199000,0.234000,0.092000
304,0.099000,0.125000,0.155000,0.185000,0.203000,0.231000,0.093000
305,0.100000,0.127000,0.157000,0.171000,0.218000,0.231000,0.093000
306,0.101000,0.127000,0.159000,0.183000,0.212000,0.235000,0.095000
307,0.100000,0.128000,0.157000,0.183000,0.215000,0.237000,0.096000
308,0.102000,0.129000,0.158000,0.187000,0.217000,0.238000,0.096000
309,0.103000,0.130000,0.159000,0.192000,0.208000,0.239000,0.097000
310,0.103000,0.129000,0.160000,0.180000,0.209000,0.248000,0.099000
311,0.104000,0.129000,0.162000,0.188000,0.217000,0.256000,0.099000
312,0.105000,0.133000,0.164000,0.191000,0.212000,0.247000,0.100000
313,0.105000,0.132000,0.148000,0.194000,0.221000,0.255000,0.101000
314,0.106000,0.132000,0.159000,0.199000,0.220000,0.257000,0.102000
315,0.107000,0.135000,0.166000,0.188000,0.216000,0.247000,0.103000
316,0.107000,0.137000,0.169000,0.202000,0.228000,0.249000,0.103000
317,0.107000,0.135000,0.170000,0.201000,0.237000,0.254000,0.105000
318,0.109000,0.137000,0.170000,0.202000,0.234000,0.254000,0.108000
319,0.108000,0.138000,0.171000,0.205000,0.221000,0.255000,0.107000
320,0.110000,0.142000,0.169000,0.207000,0.241000,0.258000,0.109000
321,0.110000,0.140000,0.173000,0.206000,0.237000,0.258000,0.109000
322,0.111000,0.141000,0.175000,0.197000,0.242000,0.257000,0.110000
323,0.112000,0.129000,0.175000,0.208000,0.240000,0.271000,0.111000
324,0.112000,0.144000,0.159000,0.208000,0.240000,0.273000,0.112000
325,0.113000,0.139000,0.173000,0.212000,0.241000,0.275000,0.118000
326,0.113000,0.143000,0.178000,0.216000,0.233000,0.269000,0.114000
327,0.114000,0.144000,0.180000,0.214000,0.232000,0.275000,0.115000
328,0.115000,0.144000,0.174000,0.206000,0.234000,0.266000,0.119000
329,0.116000,0.147000,0.184000,0.216000,0.253000,0.271000,0.117000
330,0.116000,0.148000,0.184000,0.214000,0.248000,0.271000,0.120000
331,0.117000,0.148000,0.183000,0.220000,0.250000,0.272000,0.119000
332,0.117000,0.149000,0.185000,0.216000,0.251000,0.284000,0.120000
333,0.118000,0.154000,0.182000,0.219000,0.259000,0.293000,0.123000
334,0.119000,0.150000,0.185000,0.225000,0.257000,0.287000,0.126000
335,0.120000,0.152000,0.187000,0.226000,0.256000,0.291000,0.123000
336,0.121000,0.155000,0.184000,0.226000,0.246000,0.291000,0.125000
337,0.120000,0.157000,0.186000,0.229000,0.265000,0.297000,0.126000
338,0.123000,0.155000,0.192000,0.226000,0.245000,0.284000,0.128000
339,0.123000,0.156000,0.195000,0.231000,0.258000,0.291000,0.128000
340,0.124000,0.157000,0.187000,0.232000,0.253000,0.296000,0.131000
341,0.125000,0.156000,0.195000,0.232000,0.267000,0.290000,0.131000
342,0.125000,0.159000,0.198000,0.232000,0.256000,0.299000,0.134000
343,0.126000,0.160000,0.200000,0.237000,0.254000,0.308000,0.135000
344,0.126000,0.161000,0.200000,0.231000,0.260000,0.309000,0.137000
345,0.127000,0.159000,0.201000,0.237000,0.271000,0.307000,0.135000
346,0.128000,0.161000,0.181000,0.234000,0.269000,0.303000,0.140000
347,0.129000,0.149000,0.204000,0.241000,0.263000,0.310000,0.138000
348,0.130000,0.163000,0.205000,0.221000,0.263000,0.304000,0.140000
349,0.130000,0.167000,0.203000,0.248000,0.263000,0.309000,0.142000
350,0.131000,0.166000,0.206000,0.248000,0.283000,0.313000,0.142000
351,0.132000,0.172000,0.204000,0.249000,0.277000,0.316000,0.143000
352,0.132000,0.169000,0.207000,0.244000,0.266000,0.308000,0.144000
353,0.133000,0.170000,0.208000,0.252000,0.272000,0.325000,0.147000
354,0.133000,0.171000,0.211000,0.253000,0.279000,0.312000,0.146000
355,0.134000,0.170000,0.209000,0.251000,0.294000,0.323000,0.147000
356,0.134000,0.173000,0.212000,0.251000,0.284000,0.315000,0.150000
357,0.135000,0.173000,0.213000,0.252000,0.285000,0.315000,0.150000
358,0.137000,0.174000,0.209000,0.252000,0.290000,0.338000,0.152000
359,0.137000,0.174000,0.213000,0.258000,0.299000,0.323000,0.153000
360,0.138000,0.176000,0.214000,0.261000,0.284000,0.323000,0.154000
361,0.139000,0.177000,0.219000,0.254000,0.278000,0.327000,0.155000
362,0.140000,0.178000,0.198000,0.262000,0.296000,0.350000,0.157000
363,0.140000,0.180000,0.223000,0.259000,0.310000,0.330000,0.158000
364,0.141000,0.180000,0.218000,0.263000,0.298000,0.330000,0.160000
365,0.142000,0.181000,0.222000,0.266000,0.285000,0.333000,0.169000
366,0.143000,0.180000,0.219000,0.262000,0.292000,0.346000,0.171000
367,0.143000,0.175000,0.227000,0.265000,0.307000,0.337000,0.182000
368,0.144000,0.182000,0.204000,0.272000,0.315000,0.343000,0.176000
